run,strategy,t,ndcg,rd,lss,ptkr,conv,sigma
18,Naive,12,0.9999236965594733,0.14,1.0,0.0,0.55,0.028734788556634548
18,Naive,13,0.9997777675776464,0.1,1.0,0.0,0.6,0.027617238536949706
18,Naive,14,0.9994972515338183,0.08,1.0,0.0,0.35,0.026620695282483415
18,Naive,15,0.9997262270592951,0.155,1.0,0.0,0.6,0.02572478777137633
18,Naive,16,0.9995403290287955,0.19,1.0,0.0,0.7,0.024913643956121993
18,Naive,17,0.9997542800317047,0.12,1.0,0.0,0.65,0.02417468892076141
18,Naive,18,0.9997353937979885,0.205,1.0,0.0,0.55,0.023497813499638733
18,Naive,19,0.9998810098271015,0.17,1.0,0.0,0.7,0.022874785549890704
18,Naive,20,0.9997960242864282,0.1,1.0,0.0,0.6,0.02229882438741499
18,Naive,21,0.9996757098331385,0.18,1.0,0.0,0.75,0.021764287503300346
18,Naive,22,0.99989563737066,0.10500000000000001,1.0,0.0,0.85,0.021266436150250083
18,Naive,23,0.9998345903230671,0.12499999999999997,1.0,0.0,0.7,0.02080125735844609
18,Naive,24,0.9997942641108983,0.14,1.0,0.0,0.65,0.020365326999063918
18,Naive,25,0.9996802455218623,0.045,1.0,0.0,0.8,0.01995570315713218
18,Naive,26,0.9998792531143026,0.20500000000000002,1.0,0.0,0.8,0.019569842191603272
18,Naive,27,0.9999166625588423,0.135,1.0,0.0,0.8,0.0192055319899344
18,Naive,28,0.9998365922234772,0.18,1.0,0.0,0.95,0.018860838403857945
18,Naive,29,0.9999185856256518,0.17500000000000002,1.0,0.0,0.75,0.018534061896456462
18,Naive,30,0.9999355702911658,0.15,1.0,0.0,0.95,0.01822370217692361
18,Naive,31,0.9999369533938685,0.11499999999999999,1.0,0.0,0.8,0.017928429140015904
18,Naive,32,0.9998248630852601,0.13499999999999998,1.0,0.0,0.75,0.01764705882352941
18,Naive,33,0.9998656765355072,0.08,1.0,0.0,0.8,0.017378533390904772
18,Naive,34,0.9999544410900876,0.10499999999999998,1.0,0.0,0.7,0.017121904366060488
