strategy,t,ndcg_m,ndcg_s,rd_m,rd_s,lss_m,lss_s,ptkr_m,conv_m,sigma_m
Naive,18,0.9990986819062447,0.0007176574252961672,0.039,0.026159653770264565,1.0,0.0,0.0,0.32916666666666666,0.02428429298024947
Naive,19,0.9992509108535567,0.0006297429160071145,0.041875,0.026906643617520074,1.0,0.0,0.0,0.37916666666666665,0.023762513228959732
Naive,20,0.999380158200131,0.0006246320045423264,0.042749999999999996,0.02789404032011349,1.0,0.0,0.0,0.38,0.023146095750033055
Random,0,0.9898352738375917,0.0060993922510189915,0.06554166666666666,0.02383587123035241,1.0,0.0,0.0,0.07166666666666667,0.0479157423749955
Random,1,0.9895481706065474,0.0066541088699623805,0.07145833333333333,0.03093200782663703,1.0,0.0,0.0,0.07333333333333333,0.04575497916883125
Random,2,0.9896620690016695,0.007499771509794854,0.0675,0.01765905165242907,1.0,0.0,0.0008333333333333333,0.06416666666666666,0.04350588612065648
Random,3,0.9900833955837729,0.006208800325879495,0.06895833333333333,0.024415499043993576,1.0,0.0,0.0,0.08,0.04156624099735487
Random,4,0.9893900742367461,0.005647389877652199,0.06941666666666667,0.02902169484936785,1.0,0.0,0.0,0.065,0.039577009845784564
Random,5,0.989320336576618,0.006658311850772388,0.0785,0.03045416458139801,1.0,0.0,0.0,0.07416666666666667,0.038047219070013974
Random,6,0.9904904149130654,0.007212479164630529,0.06270833333333334,0.01680180954818758,1.0,0.0,0.0008333333333333333,0.08583333333333334,0.03641224431529144
Random,7,0.9893173476725632,0.006833901782271395,0.071875,0.032794855670966634,1.0,0.0,0.0,0.07083333333333333,0.03494219110159347
Random,8,0.9891477153604809,0.0067800457396322246,0.0665,0.0188224234818738,1.0,0.0,0.0016666666666666666,0.06,0.033533445539374346
Random,9,0.9896033316125858,0.006819794701948307,0.06820833333333334,0.028216056303695836,1.0,0.0,0.0008333333333333333,0.0775,0.032259104589272544
Random,10,0.9886971270384388,0.007093562971747259,0.07545833333333334,0.028323624497552612,1.0,0.0,0.0,0.0775,0.031137666923361514
Random,11,0.98928174251296,0.006131449752975163,0.06891666666666667,0.022513965776174583,1.0,0.0,0.0,0.06999999999999999,0.029973817810361812
Random,12,0.9898247323605217,0.0061989383183305505,0.06254166666666666,0.020861340823055276,1.0,0.0,0.0,0.0775,0.028981635018506636
Random,13,0.9897715069003414,0.006142248353307334,0.071,0.028888523389500733,1.0,0.0,0.0,0.06666666666666667,0.028020131288791432
Random,14,0.9890383028881283,0.006768301349023396,0.07041666666666667,0.026029251426511708,1.0,0.0,0.0,0.06666666666666667,0.027199971620195346
Random,15,0.989765750036994,0.006319910685628975,0.068,0.02315312617038978,1.0,0.0,0.0,0.07416666666666667,0.026325352992575556
