t,strategy,ndcg,rd,lss,ptkr,conv,sigma,run
8,Naive,0.9974587638137348,0.06416666666666666,0.9999999999999999,0.0,0.06666666666666667,0.03489138892646526,3
9,Naive,0.9981381690709351,0.07833333333333334,0.9999999999999999,0.0,0.1,0.03489209657327825,3
10,Naive,0.9979025698418129,0.0725,0.9999999999999999,0.0,0.08333333333333333,0.033233366849414366,3
11,Naive,0.9978628867348043,0.06166666666666667,0.9999999999999999,0.0,0.06666666666666667,0.032049341048687514,3
12,Naive,0.9984075032502753,0.07,0.9999999999999999,0.0,0.08333333333333333,0.031104827781384584,3
13,Naive,0.9984939798526109,0.07916666666666666,0.9999999999999999,0.0,0.1,0.030392877859252702,3
14,Naive,0.9988934711414178,0.08416666666666667,0.9999999999999999,0.0,0.1,0.029797036113300177,3
15,Naive,0.9990920894163903,0.08416666666666668,0.9999999999999999,0.0,0.1,0.029044657756216015,3
16,Naive,0.9993419066216087,0.08249999999999999,0.9999999999999999,0.0,1.0,0.02782775621105023,3
17,Naive,0.9984479917549087,0.08166666666666665,0.9999999999999999,0.0,1.0,0.027404316402166617,3
18,Naive,0.9986149074215567,0.07583333333333334,0.9999999999999999,0.0,1.0,0.026005247893989007,3
19,Naive,0.9991988113020831,0.07916666666666666,0.9999999999999999,0.0,1.0,0.025588124717701617,3
20,Naive,0.9994837051966802,0.08499999999999999,0.9999999999999999,0.0,1.0,0.02508648625747985,3
0,LCB,0.9788326239010992,0.0,0.9999999999999999,0.0,0.9166666666666666,0.0479157423749955,3
1,LCB,0.9788326239010992,0.0,0.9999999999999999,0.0,0.9166666666666666,0.04638255472314818,3
2,LCB,0.9788326239010992,0.0,0.9999999999999999,0.0,0.9166666666666666,0.04343871936798272,3
3,LCB,0.9811640985495939,0.005833333333333333,0.9999999999999999,0.0,0.9166666666666666,0.042376970793687546,3
4,LCB,0.9847145047726912,0.020833333333333332,0.9999999999999999,0.0,0.9166666666666666,0.04119227884711464,3
5,LCB,0.982278437306979,0.013333333333333334,0.9999999999999999,0.0,0.9333333333333333,0.03903017364611331,3
6,LCB,0.9862183513668455,0.03666666666666667,0.9999999999999999,0.0,0.9333333333333333,0.03795216275416721,3
7,LCB,0.9869145540132648,0.029166666666666667,0.9999999999999999,0.0,0.9333333333333333,0.03688861122487,3
8,LCB,0.9915735902694268,0.040833333333333326,0.9999999999999999,0.0,0.9333333333333333,0.03558935722375674,3
9,LCB,0.9912829563279976,0.03666666666666666,0.9999999999999999,0.0,0.9333333333333333,0.03385083880520816,3
10,LCB,0.9934941537155789,0.04416666666666667,0.9999999999999999,0.0,0.95,0.033064190809499606,3
11,LCB,0.9917124344108329,0.04083333333333334,0.9999999999999999,0.0,0.95,0.03172311382081701,3
12,LCB,0.9916374608914266,0.04333333333333333,0.9999999999999999,0.0,0.95,0.030614863275102433,3
13,LCB,0.9917425816169083,0.04666666666666666,0.9999999999999999,0.0,0.95,0.029918838194952734,3
14,LCB,0.9945199532253022,0.05,0.9999999999999999,0.0,0.95,0.029054375705711892,3
15,LCB,0.9933129729731534,0.058333333333333334,0.9999999999999999,0.0,0.9666666666666667,0.028501991235671684,3
16,LCB,0.9920948741693081,0.035,0.9999999999999999,0.0,0.95,0.02705719658104949,3
17,LCB,0.992378190187102,0.052500000000000005,0.9999999999999999,0.0,0.95,0.026451679324391696,3
18,LCB,0.994449881785506,0.04916666666666667,0.9999999999999999,0.0,0.9666666666666667,0.025734480315041573,3
19,LCB,0.9965922583496462,0.06749999999999999,0.9999999999999999,0.0,0.9833333333333333,0.025718357526738227,3
20,LCB,0.9975823646407158,0.060000000000000005,0.9999999999999999,0.0,0.9666666666666667,0.02486372915974533,3
0,Tiered,0.9937277055350179,0.0,0.9999999999999999,0.0,0.0,0.0479157423749955,3
1,Tiered,0.9937277055350179,0.0,0.9999999999999999,0.0,0.0,0.045880494279694636,3
2,Tiered,0.9937277055350179,0.0,0.9999999999999999,0.0,0.0,0.043728192076988706,3
3,Tiered,0.9937277055350179,0.0,0.9999999999999999,0.0,0.0,0.04147596698774802,3
4,Tiered,0.9937277055350179,0.0,0.9999999999999999,0.0,0.0,0.03942243692194691,3
5,Tiered,0.9937277055350179,0.0,0.9999999999999999,0.0,0.0,0.037295344987606595,3
6,Tiered,0.9937277055350179,0.0,0.9999999999999999,0.0,0.0,0.03601900514266813,3
7,Tiered,0.9937277055350179,0.0,0.9999999999999999,0.0,0.0,0.03458077594332933,3
8,Tiered,0.9960057938488537,0.0125,0.9999999999999999,0.0,0.9833333333333333,0.03300287136381742,3
9,Tiered,0.99739082991481,0.020833333333333332,0.9999999999999999,0.0,0.9833333333333333,0.031901553002672146,3
10,Tiered,0.9975571340446243,0.025,0.9999999999999999,0.0,0.9833333333333333,0.030811689172508948,3
11,Tiered,0.9974164182273292,0.021666666666666667,0.9999999999999999,0.0,0.9833333333333333,0.029603834134583448,3
12,Tiered,0.997883601847665,0.025833333333333333,0.9999999999999999,0.0,0.9833333333333333,0.028604871452410235,3
13,Tiered,0.9985441043126346,0.0275,0.9999999999999999,0.0,1.0,0.027666430493616334,3
14,Tiered,0.9984944856528387,0.02666666666666667,0.9999999999999999,0.0,0.9833333333333333,0.026741810776160193,3
15,Tiered,0.9985441043126346,0.0275,0.9999999999999999,0.0,1.0,0.02591937852774042,3
16,Tiered,0.9985441043126346,0.0275,0.9999999999999999,0.0,1.0,0.025108155085412247,3
17,Tiered,0.998767730836975,0.029999999999999995,0.9999999999999999,0.0,1.0,0.024432684662992022,3
18,Tiered,0.9985441043126346,0.0275,0.9999999999999999,0.0,1.0,0.02366448137868981,3
19,Tiered,0.998767730836975,0.029999999999999995,0.9999999999999999,0.0,1.0,0.023043023342711046,3
20,Tiered,0.9984944856528387,0.02666666666666667,0.9999999999999999,0.0,0.9833333333333333,0.022311010201774742,3
0,Random,0.9844723233009144,0.10583333333333332,0.9999999999999999,0.0,0.05,0.0479157423749955,3
1,Random,0.9844879510271146,0.10333333333333333,0.9999999999999999,0.0,0.03333333333333333,0.04537843383624109,3
2,Random,0.992580138931743,0.07166666666666668,0.9999999999999999,0.0,0.11666666666666667,0.043728192076988706,3
3,Random,0.986079405790313,0.07833333333333334,0.9999999999999999,0.0,0.1,0.04212359599278455,3
4,Random,0.9930391946246537,0.07833333333333332,0.9999999999999999,0.0,0.05,0.04044974969000202,3
5,Random,0.9928007509601753,0.07,0.9999999999999999,0.0,0.1,0.038828708449733004,3
6,Random,0.990519444670461,0.07166666666666667,0.9999999999999999,0.0,0.05,0.03679080249500895,3
7,Random,0.9937349713567298,0.0375,0.9999999999999999,0.0,0.06666666666666667,0.035294054476840676,3
8,Random,0.9902293363311625,0.0775,0.9999999999999999,0.0,0.05,0.03413226244564791,3
9,Random,0.9877743697549284,0.10500000000000001,0.9999999999999999,0.0,0.016666666666666666,0.033191221271409437,3
10,Random,0.9911774958592591,0.05333333333333334,0.9999999999999999,0.0,0.05,0.03156122423159973,3
11,Random,0.9923900067769986,0.065,0.9999999999999999,0.0,0.06666666666666667,0.030459917982143588,3
12,Random,0.9926017292063496,0.06749999999999999,0.9999999999999999,0.0,0.1,0.02966897200339678,3
13,Random,0.990987973393248,0.0625,0.9999999999999999,0.0,0.05,0.028618014668619945,3
14,Random,0.9918803717701522,0.07166666666666667,0.9999999999999999,0.0,0.06666666666666667,0.027677053874076825,3
15,Random,0.9931367932208348,0.05583333333333333,0.9999999999999999,0.0,0.016666666666666666,0.026852613065483498,3
16,Random,0.9888260133745664,0.08833333333333335,0.9999999999999999,0.0,0.03333333333333333,0.026200716746338053,3
17,Random,0.9890843425648812,0.1383333333333333,0.9999999999999999,0.0,0.016666666666666666,0.025484777275623326,3
18,Random,0.9929476380775129,0.0775,0.9999999999999999,0.0,0.05,0.024668077161014604,3
19,Random,0.987301634940135,0.1,0.9999999999999999,0.0,0.1,0.02407463293237687,3
20,Random,0.9898697231744242,0.08833333333333333,0.9999999999999999,0.0,0.06666666666666667,0.02349435216536507,3
0,Naive,0.9917661201258741,0.0,0.9999999999999999,0.0,0.0,0.0479157423749955,4
1,Naive,0.9950343552363125,0.013333333333333334,0.9999999999999999,0.0,0.0,0.045880494279694636,4
2,Naive,0.9953334007327784,0.018333333333333333,0.9999999999999999,0.0,0.0,0.043728192076988706,4
3,Naive,0.9963506853729006,0.029166666666666667,0.9999999999999999,0.0,0.03333333333333333,0.04212359599278455,4
4,Naive,0.9966633823282038,0.030833333333333334,0.9999999999999999,0.0,0.03333333333333333,0.04018421954086806,4
5,Naive,0.9966798802824196,0.03333333333333333,0.9999999999999999,0.0,0.03333333333333333,0.038643773144850936,4
6,Naive,0.9970605765009376,0.03083333333333333,0.9999999999999999,0.0,0.03333333333333333,0.03673066510905397,4
